date,meeting_date,lm_positive,lm_negative,lm_polarity,lm_subjectivity,lm_net
2011-01-08,2011-01-26,,,,,
2011-03-04,2011-03-15,,,,,
2011-04-14,2011-04-27,-3.3746090296312703,0.5824411340077067,1.5315440392397253,-1.5374688076395342,-1.1869461464625168
2011-06-14,2011-06-22,5.143241783451321,0.403969151960878,1.5237249816441252,-1.1739463311430958,1.2835609163200037
2011-06-29,2011-08-09,-0.8709778301711326,1.7282176224155772,-10.620826949130342,9.075562744545973,-2.0106435618657033
2011-09-15,2011-09-21,2.0358754345561008,3.072733417183011,0.25008410441932355,-0.1095723419351613,-0.8272944939528906
2011-10-22,2011-11-02,1.0870585810728806,1.2724807364979291,0.5892069508504341,-0.6068812889725625,-0.5332315508258194
2011-11-29,2011-12-13,-0.01233938938277097,-0.6426746711587084,0.3230272756318925,-0.3068502590169981,0.7782820358481004
2012-01-16,2012-01-25,-1.6332083414287932,-0.5910007784966678,0.4015359181248556,-0.5104387400007002,-0.6443292700588855
2012-03-01,2012-03-13,0.1479232600953987,-0.3119578600480274,-0.11502887359113066,0.26181833439247276,0.5154595471565547
2012-04-13,2012-04-25,-0.9252551751038369,4.589752111874575,0.40919067839353684,-0.5725214568757585,-6.345747222143976
2012-06-12,2012-06-20,-1.9770050106641162,0.40337193603156896,0.2626250927931887,-0.47147468026641415,-1.2273272100668036
2012-07-24,2012-08-01,4.229819333602635,-1.512923575089916,0.6136350689198737,1.202137544111966,3.325157268696225
2012-08-31,2012-09-13,0.9416266005148469,-2.0987691470306276,0.6230623084260375,-0.2908626931632536,1.9669704535694164
2012-10-14,2012-10-24,0.9693130064815761,-0.6295526161999434,0.5527408927116741,-0.527898520698609,0.9155483119898877
2012-12-04,2012-12-12,-0.824094916005958,-0.4570198551398353,0.48272284347334415,-0.7210693252499347,-0.0814632504167971
2013-01-04,2013-01-30,-0.8793323131200853,0.15398066166376018,0.0610886549621923,-0.32502339533559044,-0.5450043228419235
2013-03-08,2013-03-20,-0.948771660648338,0.40810117107973254,0.5246148566403714,-0.7757491160154693,-0.7625023751306123
2013-04-19,2013-05-01,0.5513756811902796,0.9471999075329471,0.39683564284735307,-0.5102484996540168,-0.3716986538854704
2013-06-06,2013-06-19,-0.23067269624214562,-0.680422211730066,0.44570048539517587,-0.560477500941189,0.36032100801809025
2013-07-17,2013-07-31,-1.4946235270018122,-1.9881201287166133,0.48670553699248625,-0.6788014932975277,0.647269742649152
2013-07-17,2013-09-18,-0.6038485476271248,-1.2332093628291334,-0.6725540801200314,0.8426025430415092,0.6256730513204405
2013-10-18,2013-10-30,-0.19118057791560736,0.7698133647110271,0.2481819238020295,-0.4404681129903052,-0.7082234880333178
2013-12-16,2013-12-18,0.060400752510156315,0.1703649190368521,0.4076474745113581,-0.5289367777710016,-0.10272590646138544
2014-01-03,2014-01-29,0.26220016878354957,0.7096539852183191,-0.4676396823174425,0.41454843247979445,-0.4225717310771757
2014-03-05,2014-03-19,-0.5520519521672017,-1.0760954278632513,0.002772568764308014,-0.06765280738418909,0.5658736959052808
2014-04-15,2014-04-30,0.327363649011594,-0.3004165464918068,0.2837400051381456,-0.26451205061564553,0.41459151473964645
2014-06-09,2014-06-18,-0.9324184847062819,-0.5216034998082633,0.04879746336764017,-0.2990886050462662,-0.06778240775343289
2014-07-10,2014-07-30,2.2007246856628857,1.5310369286041452,0.03157681823067572,0.29057989105436577,-0.06981269515447577
2014-09-04,2014-09-17,-0.35193032775931843,1.6069937804402723,-0.15737307486339197,-0.1325479647750156,-1.559539050194506
2014-10-20,2014-10-29,0.7748302699020708,-1.6982060072489806,0.5732032998947549,-0.2532625331331631,1.867100198322744
2014-12-03,2014-12-17,0.07336462236561286,1.3097169369566393,0.33569791437326246,-0.5407307470261699,-1.0593328119660974
2015-01-20,2015-01-28,2.5451358182428523,-0.03266748004696391,-3.1942973272088255,9.029194696640982,1.3543531177775343
2015-03-03,2015-03-18,0.05906866641978467,0.6494982589120162,0.30592615277139196,-0.35770807561283346,-0.5016958448482723
2015-04-08,2015-04-29,0.15371935125375782,0.8397977692718738,0.25585610211802917,-0.3308776687953268,-0.6077802781812853
2015-06-02,2015-06-17,0.5117611427823907,-0.3037388967238418,0.5632629934867748,-0.4326343998846658,0.5338418968879718
2015-07-10,2015-07-29,0.747929426483827,1.6185763942300844,-0.09554296994581514,-0.04934925793925797,-0.9263188247494965
2015-08-29,2015-09-17,-1.1238778562096883,-0.7754108939193782,-0.5244875052713233,0.1010233677214943,0.039716142184174505
2015-10-20,2015-10-28,-1.1192976926834841,-1.0713193098531237,0.4807509898133415,-0.5110291208226035,0.2896216367197588
2015-12-03,2015-12-16,-0.18413295708940713,-0.8350638305842703,0.6626436924261823,-0.5539383006259667,0.6181012600000495
2016-01-03,2016-01-27,-0.07664615149688953,0.16255904151621187,-2.690479392594368,1.5011479009416981,-0.18440954166783113
2016-03-07,2016-03-16,-1.6502116482516926,-0.4324277045768671,0.28328747614798855,-0.4632685266627046,-0.5546862082273134
2016-04-14,2016-04-27,1.5511651240723736,-2.4313191651267156,0.8265956612594622,0.4434334479303143,3.0080180390351288
2016-06-06,2016-06-15,-0.8643296191153221,-1.2845206094131159,0.4641439647160978,-0.47248214005734845,0.6116199651180058
2016-07-12,2016-07-27,-0.9945579703249645,2.5965954033579433,-1.9232929027769985,0.6079242160787958,-2.7535470979168837
2016-09-12,2016-09-21,-1.3330056569060553,-0.3103430146687025,0.0004664154281301615,-0.31059772354131954,-0.41386792940033185
2016-10-24,2016-11-02,-0.6786650891386801,0.4631920940921857,0.4391829671554278,-0.5133589696537442,-0.7416176506387422
2016-12-02,2016-12-14,0.04650826666369929,0.15492898868808982,0.5762788809756455,-0.5393405874286291,-0.1064106077174796
2017-01-19,2017-02-01,0.10187518608343783,-1.7529513255450138,0.565248142883158,-0.3475865412270912,1.528119494454885
2017-03-03,2017-03-15,-1.3185004310961417,-2.3043209058670375,0.5618721320389388,-0.516480940188204,1.2898262250588735
2017-04-28,2017-05-03,-0.43124827861333603,-0.5478550584708625,0.3781475837032465,-0.4174001164636649,0.2636143187380735
2017-06-01,2017-06-14,-0.3375653244906793,-1.8251058545492995,0.6526467668056929,-0.49161824605190524,1.4356367528843352
2017-07-13,2017-07-26,0.47303252523750444,-0.17750958766096628,0.33245187018858946,-0.28742247617710054,0.3923252693866719
2017-09-05,2017-09-20,-0.7566630105904701,0.11740466569207723,0.1808249842840341,-0.33441716838200936,-0.4794039091377942
2017-10-20,2017-11-01,-0.09087901157648665,-0.8514632926700292,0.6265573879229813,-0.5454040994518409,0.7105351546649818
2017-11-30,2017-12-13,1.2897451841162806,-2.1843441929798306,0.8960034018625592,-0.30195012246596903,2.5809329270516623
2018-01-19,2018-01-31,6.069315959492197,-2.207468444457815,3.2233012254411406,1.5600073621668558,4.812264799950965
2018-03-06,2018-03-21,-0.2198377380588514,-0.6452393877398414,0.09986874084235924,-0.15957244851754027,0.38247688165897453
2018-04-19,2018-05-02,0.4036924783441382,0.23851743425899757,-0.07535573186306377,-0.01618926282947039,0.023662978127883885
2018-05-31,2018-06-13,-0.4139213232748724,-1.2858641653635268,0.4542644226346663,-0.475894768355728,0.7773390548328161
2018-07-19,2018-08-01,0.8566799657691337,-0.09092031648118068,-0.335757636888405,0.662798112698207,0.5094071390422271
2018-09-12,2018-09-26,-1.9313022408176905,-1.0068880673777656,-0.3445862363740344,-0.2646054014426471,-0.21261326306603232
2018-10-25,2018-11-08,-1.3922951781420148,-1.7235313671915995,0.23026027197993723,-0.4381993819848853,0.6093041080070758
2018-12-07,2018-12-19,-0.2816352293726729,-0.37728194760470135,0.48330376213329024,-0.5526018366731626,0.14984742365699327
2019-01-10,2019-01-30,-1.3590771510074753,-2.481443002734097,0.10292407860049808,-0.12722301739360745,1.2515780975400725
2019-03-12,2019-03-20,0.04854495866509148,-1.7774349899769422,0.7226353925429471,-0.6010743523306558,1.493564672396801
2019-04-11,2019-05-01,0.49118254458976035,-0.9701135139998674,0.600721621015264,-0.478408046850515,1.06604889719995
2019-06-05,2019-06-19,-0.7521990784833159,-1.029355984152931,0.5245367096977094,-0.60519488945931,0.45956258965332114
2019-07-16,2019-07-31,-0.13247706194889666,-0.5256518812870248,0.27851271354511337,-0.3182386700194105,0.36935017184281865
2019-09-05,2019-09-18,-0.37706456797152627,-0.6889347847575625,0.13614686520430508,-0.20746629651424028,0.3777634713693446
2019-10-21,2019-10-30,-0.0005035771472069072,-1.5578672917657415,0.6572897308876758,-0.5428252612816087,1.305493568677689
2019-11-26,2019-12-11,-0.8069676126800265,-1.3580191421151346,0.49699867450477997,-0.5490429874004354,0.7246625404498889
2020-01-17,2020-01-29,0.3243289963181691,-1.9893262398563076,0.7130816072036548,-0.1784822621563545,1.859836374557386
2020-02-27,2020-03-03,1.8969596509112874,-1.9203560505957635,1.0417606087934697,-0.33021904886532877,2.6022905729330836
2020-02-27,2020-03-15,1.0689669887599642,-1.3527365208623827,-2.5050433648696333,16.640626054076684,1.6637716244426948
2020-04-09,2020-04-29,0.3252533910603656,-0.8710210203220318,-5.618296140879557,4.189116260526982,0.8842462969000712
2020-05-21,2020-06-10,-1.7185910258920802,0.4569163767670023,-1.0712883339308394,0.023065291444542835,-1.2229428575037187
2020-07-14,2020-07-29,0.8675233281801965,1.9315200527960141,-0.7294217555264908,0.1846466470820762,-1.1620930391512079
2020-09-01,2020-09-16,0.23928927042104492,-1.3002506661675441,0.5647522236944494,-0.31135583720205895,1.2057290844302722
2020-10-21,2020-11-05,-0.36821790195161863,-0.16676153646753675,0.39896458917155986,-0.35375617583248514,-0.040353919730404274
2020-12-11,2020-12-16,1.2555859249001722,-1.472909826322587,0.768333337044793,-0.2469399145247086,1.8486502989582057
2021-01-13,2021-01-27,-0.9564269525935432,-0.7928355546511794,0.31489988282722065,-0.34420568939576884,0.196427720170181
2021-03-02,2021-03-17,0.07915223753910337,0.5267833002023166,0.3429678882079053,-0.3200554526399451,-0.4011516160384637
2021-04-14,2021-04-28,-0.5781745515190547,-1.4217823628847763,0.5178437882454638,-0.348097793141799,0.906425309588676
2021-06-03,2021-06-16,-0.8043011339737937,-1.4779129542976945,0.5510401613067423,-0.3789349384956035,0.8533210485081095
2021-07-11,2021-07-28,-0.39488444216593555,-1.979587818395722,0.5660995009522827,-0.19208395898745872,1.4881115255106805
2021-09-09,2021-09-22,-0.6822708978138468,-1.3914964369976284,0.4183284523929629,-0.2865920981600013,0.8653601066421046
2021-10-22,2021-11-03,-0.6171588518661117,-0.6497453505307444,0.4796186250874397,-0.3713369380871258,0.26541029828980334
2021-12-02,2021-12-15,-0.46315391706963743,-1.0679261181041126,0.5199442299858541,-0.3589847076369504,0.7011488887460772
2021-12-17,2022-01-26,-1.9907674887619466,-0.0772095503107795,-0.6108381326422458,-0.1124751482666717,-0.8847268649587625
2022-02-24,2022-03-16,-1.046275071307761,-2.0376047897290537,0.42899493551451734,-0.22056377935769236,1.2507346981746603
2022-04-05,2022-05-04,-1.5878890186771486,-1.5199435687700031,0.08784781447707801,-0.23429830079718184,0.5606133328364318
2022-06-03,2022-06-15,-1.1991908864668814,-0.6587738461942537,-0.0006276398100249712,-0.20582752677452645,-0.0056597444974110485
2022-07-19,2022-07-27,-1.2333685004386208,-0.7105136546684336,0.035191493806169274,-0.23820025208897883,0.02012710672895109
2022-09-09,2022-09-21,-0.5997033092309744,-0.8161639770783644,0.29751965625715243,-0.2633247665190045,0.4269898727326604
2022-10-20,2022-11-02,-0.4750548405280236,-0.8740024524770031,0.4714067894994634,-0.3399511594201448,0.5424078445001274
2022-12-01,2022-12-14,-0.9395083636406868,-0.08825694340469684,0.11276086161020926,-0.26902374460914147,-0.39005616672166366
2023-01-21,2023-02-01,-1.3114567421447403,-1.0227406650635007,0.046205228268980034,-0.2176775626717393,0.2567380501504201
2023-03-14,2023-03-22,0.2266902863009679,-0.8020558166167845,0.5807883044675125,-0.3492536512921447,0.8348321509405723
2023-04-21,2023-05-03,-0.9736027111734243,-1.3209421422865768,0.4637209771983517,-0.3461902866826585,0.6955758039690791
2023-05-31,2023-06-14,-0.21456892289801724,-0.34045507087212235,0.3883809676089677,-0.2971706741409119,0.19927008232809645
2023-07-18,2023-07-26,-0.604237599950681,0.14086388850666468,0.15769962442478294,-0.2610041203700176,-0.43236520748773427
2023-09-08,2023-09-20,-0.45659663070244594,-1.5581408607396168,0.3748205868180372,-0.1379299834556726,1.1763949323675413
2023-10-27,2023-11-01,1.2026670000604849,-0.6399706606832763,0.6910599827033408,-0.3793580755442231,1.1850866402184126
2023-12-05,2023-12-13,-0.3487163233423898,0.06866618332301734,0.48370724594717557,-0.3764112445811264,-0.23726037281336457
2024-01-17,2024-01-31,-0.2544550813489196,-1.0115376867254184,0.305774720806637,-0.18203290986296275,0.7855712842397472
2024-03-07,2024-03-20,0.1513040047107006,-0.05103547402032022,0.5529015975105924,-0.3784618343125799,0.12203389807609602
2024-04-18,2024-05-01,-0.516163062785468,-0.09547188284736756,0.3761759892125086,-0.3314670344548311,-0.17241420260301712
2024-06-07,2024-06-12,0.7008825461361006,-0.9704409003811862,0.6761454231488391,-0.3702428061404053,1.2297078776348604
2024-07-24,2024-07-31,1.1687211615394986,-1.1661106203074685,0.733386330801239,-0.3671353365105429,1.6360512753996972
2024-09-10,2024-09-18,-0.9965069613650386,0.3112408489736876,0.1466629294774861,-0.28655326157654304,-0.7740794108502437
2024-10-23,2024-11-07,0.46176042566182857,-0.7281513966032366,0.6302338372836589,-0.37400463723492,0.8813756917178135
2024-12-03,2024-12-18,0.11605270824393085,-0.9081587936402319,0.5222301343724054,-0.29294463281079347,0.8694259749963317
2025-01-09,2025-01-29,-0.3337438727730545,-0.863628331660282,0.2105915240200256,-0.14968292088976481,0.6071795406529218
2025-03-07,2025-03-19,0.6696622617001716,-0.4665817397026484,0.6497319200364893,-0.3983466236849506,0.7487753449338534
2025-05-03,2025-05-07,-0.656209789237656,-1.0598398957171262,0.509180014971636,-0.3516345634226261,0.6238107231117916
2025-06-06,2025-06-18,-0.3872112258570346,-0.3798357110808263,0.5078752361611742,-0.3651461211053248,0.1495336752706179
2025-07-22,2025-07-30,-0.16545062283325954,-1.160863228481798,0.5394755896261464,-0.3156647658896629,0.9602981241453478
2025-08-28,2025-09-17,-0.465680451456713,-0.3977589643614891,0.1937671895406884,-0.2179368007387121,0.12843618625635658
2025-10-23,2025-10-29,0.415557426204729,-0.27004801346565255,0.5608702548176026,-0.35786680812627686,0.4477521509449045
2025-12-01,2025-12-10,-0.025456890950192938,0.013973900434780175,0.35967968633586606,-0.2880516253009003,-0.025109174246237764
